player_name,real_name,nationality,team,player_status,link,link2,link3,link3,link4
Assert,Dylan Romo,United States,Pirate Dream Esports,Retired,{"twitch_link":"https://www.twitch.tv/assert__"\,twitter_link:"https://twitter.com/1Assert"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"None"}
assiikun,,Japan,Riddle,Active,{"twitch_link":"https://www.twitch.tv/assiikun"\,twitter_link:"https://twitter.com/4ssiikun"\,facebook_link:"None"\,youtube_link:"http://www.youtube.com/channel/UC6FLnfmsYRaLr-nY9EwEjVg"\,esl_profile_link:"None"}
Asura,Hunter Perez,United States,Atlanta Premier,Active,{"twitch_link":"https://www.twitch.tv/asuraapex"\,twitter_link:"https://twitter.com/AsuraApex"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"None"}
Atrosty,Matter Mohammed,United Arab Emirates,Atlanta Premier,Active,{"twitch_link":"https://www.twitch.tv/atrosty"\,twitter_link:"https://twitter.com/atrosty1"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"None"}
Attune,Nam Ki-hoon,South Korea,Atlanta Premier,Retired,{"twitch_link":"https://www.twitch.tv/attuneow"\,twitter_link:"https://twitter.com/attuneOW"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"None"}
Aurora,Lee Hyeon-su,South Korea,Atlanta Premier,Active,{"twitch_link":"https://www.twitch.tv/aurora2618"\,twitter_link:"https://twitter.com/Aurora42332633"\,facebook_link:"None"\,youtube_link:"http://www.youtube.com/channel/UCxkbovqk8YMEjpG9llPmliQ"\,esl_profile_link:"None"}
AvadoN,Kudo Kyosuke,Japan,Meteor,Active,{"twitch_link":"https://www.twitch.tv/avadonxx"\,twitter_link:"https://twitter.com/avadonfps"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"None"}
Aves,Avery Post,United States,start a fight eSports,Active,{"twitch_link":"None"\,twitter_link:"https://twitter.com/It_is_aves"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"None"}
Avi,An B?o Lê Nguy?n,Vietnam,start a fight eSports,Retired,{"twitch_link":"https://www.twitch.tv/avivietnam"\,twitter_link:"https://twitter.com/Avi_FPS_"\,facebook_link:"http://facebook.com/avifps.official"\,youtube_link:"None"\,esl_profile_link:"None"}
avlis,Yohran Erick,Brazil,start a fight eSports,Active,{"twitch_link":"https://www.twitch.tv/avlis1"\,twitter_link:"https://twitter.com/fpsavlis"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"None"}
Axbak,Akshuna Bishnoi,India,XSpark,Active,{"twitch_link":"None"\,twitter_link:"https://twitter.com/Axbak_"\,facebook_link:"None"\,youtube_link:"http://www.youtube.com/c/AXB4K/featured"\,esl_profile_link:"None"}
